,l_cent,b_cent,nread,cadence,yield,nf,run.layout,reason,m-10yield
88997,0.4,-1.2,24,14.8249,73.3445,6,ffp_normmap_m+00v3.layout_6f_0a_gal-center_full.txt,Best yield,15.6657
40382,0.6,-1.2,26,13.3918,69.9583,5,ffp_normmap_m+00v3.layout_5f_0a_gal-center_full.txt,Best yield,16.4743
40395,0.4,-1.2,22,12.1418,65.3145,5,ffp_normmap_m+00v3.layout_5f_0a_gal-center_full.txt,Fastest cadence,14.7394
88890,0.4,-1.0,19,12.9521,65.1967,6,ffp_normmap_m+00v3.layout_6f_0a_gal-center_full.txt,Fastest cadence,12.6465
155067,0.4,-1.0,17,13.8383,65.0474,7,ffp_normmap_m+00v3.layout_7f_2h_gal-center_full.txt,Fastest cadence,12.3197
197138,0.6,-1.0,15,14.5306,65.4479,8,ffp_normmap_m+00v3.layout_8f_3g_gal-center_full.txt,Fastest cadence,11.4839
2073,0.4,-1.2,29,11.9561,65.6184,4,ffp_normmap_m+00v3.layout_4f_0a_gal-center_full.txt,Fastest cadence,16.8348
138513,0.4,-1.2,19,14.885,69.9706,7,ffp_normmap_m+00v3.layout_7f_0a_gal-center_full.txt,Best yield,13.4719
197139,0.6,-1.0,16,14.9866,67.3744,8,ffp_normmap_m+00v3.layout_8f_3g_gal-center_full.txt,Best yield,12.005
40387,0.6,-1.2,31,14.9118,74.8803,5,ffp_normmap_m+00v3.layout_5f_0a_gal-center_full.txt,Best yield,18.3295
40385,0.6,-1.2,29,14.3038,73.0026,5,ffp_normmap_m+00v3.layout_5f_0a_gal-center_full.txt,Best yield,17.6086
2440,0.4,-1.6,40,14.9906,65.3648,4,ffp_normmap_m+00v3.layout_4f_0a_gal-center_full.txt,Highest latitude,18.5972
51298,0.6,-1.2,30,14.7111,68.4768,5,ffp_normmap_m+00v3.layout_5f_1g_gal-center_full.txt,Highest latitude,16.7635
67420,0.6,-1.4,30,14.8312,67.277,5,ffp_normmap_m+00v3.layout_5f_2g_gal-center_full.txt,Highest latitude,16.8137
40696,0.2,-1.6,30,14.7886,65.4096,5,ffp_normmap_m+00v3.layout_5f_0a_gal-center_full.txt,Highest latitude,16.4107
112327,0.4,-1.4,24,14.9531,66.5532,6,ffp_normmap_m+00v3.layout_6f_2h_gal-center_full.txt,Highest latitude,15.0172
163000,0.6,-1.4,19,14.8628,66.7338,7,ffp_normmap_m+00v3.layout_7f_3f_gal-center_full.txt,Highest latitude,13.6219
201228,0.6,-1.2,16,14.9935,66.6967,8,ffp_normmap_m+00v3.layout_8f_4d_gal-center_full.txt,Highest latitude,11.8751
89107,0.4,-1.4,24,14.9312,70.6622,6,ffp_normmap_m+00v3.layout_6f_0a_gal-center_full.txt,Highest latitude,15.5083
89193,0.4,-1.6,20,13.6247,60.5183,6,ffp_normmap_m+00v3.layout_6f_0a_gal-center_full.txt,Highest latitude,13.2585
40548,0.4,-1.4,21,11.9524,61.5740,5,ffp_normmap_m+00v3.layout_5f_0a_gal-center_full.txt,Highest latitude,14.1451
155890,0.4,-1.2,19,14.8177,68.6911,7,ffp_normmap_m+00v3.layout_7f_2i_gal-center_full.txt,Highest latitude,13.8055
wo407196,0.6,-1.4,19,12.614,68.7185,7,ffp_normmap_m+00v3.layout_7f_3f_full.txt,Conservative,15.56
P19,0.595452222,-1.245558333,15,15.0,1.0,7,ffp_normmap_m+00v3.layout_7f_2i_full.txt,Old,1.0














